'Distant Worlds Racial Biases - version 1.5.0.0

'determines natural bias of each race towards other races
'this bias can be either positive or negative
'maximum value is 50, minimum value is -50
'each row determines the natural bias feelings of the race named at left to all races
'  each bias value (column) in the row is how the named race feels towards the race matching the index number for the column
'  e.g. Ketarov has natural +10 bias towards other Ketarovs (race index 0), +10 bias towards Atuuk (race index 1), 0 bias towards Gizurean (race index 2), etc

'#, Name,		 0,  1,  2,  3,  4,  5,  6,  7,  8,  9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21

 0, Ketarov,	10, 10,  0,  0,  0,  0,  0,  0,  0,  0,  5,  5,  0,  0,  0,  5,  0,  0,  0, 10,  0,  0
 1, Atuuk,		10, 10,  0,  0,  0,  0,  0,  0,  0,  0,  5,  5,  0,  0,  0,  5,  0,  0,  0, 10,  0,  0
 2, Gizurean,	 0,  0, 10, 10,-10,-10,  5,-10,  5,  5,-10,-10,-10, 10,  5,  0,-10, 10,-10,  0, 10,-10
 3, Dhayut,		 0,  0, 10, 10,-10,-10,  5,-10,  5,  5,-10,-10,-10, 10,  5,  0,-10, 10,-10,  0, 10,-10
 4, Human,		 0,  0,-10,-10, 10,  0,  0,  0,  0,  0,  0,  0,  0,-10,  0,  0, 10,-10, 10,  0,-10,  0
 5, Quameno,	 0,  0,-10,-10,  0, 10,  0, 10,  0,  0,  0,  0, 10,-10,  0,  0,  0,-10,  0,  0,-10,  0
 6, Mortalen,	 0,  0,  5,  5,  0,  5, 10,  5, 10, 10,  0,  0,  5,  5, 10,  0,  0,  5,  0,  0,  5,  0
 7, Ackdarian,	 0,  0,-10,-10,  0, 10,  0, 10,  0,  0,  0,  0, 10,-10,  0,  0,  0,-10,  0,  0,-10,  0
 8, Haakonish,	 0,  0,  5,  5,  0,  5, 10,  5, 10, 10,  0,  0,  5,  5, 10,  0,  0,  5,  0,  0,  5,  0
 9, Naxxilian,	 0,  0,  5,  5,  0,  5, 10,  5, 10, 10,  0,  0,  5,  5, 10,  0,  0,  5,  0,  0,  5,  0
10, Zenox,		 0,  0,-15,-10,  0,  0,  0,  0,  0,  0, 10, 10,  0,-15,  0, 10,  0,-15,  0,  0,-15,  0
11, Teekan,		 0,  0,-10,-10,  0,  0,  0,  0,  0,  0, 10, 10,  0,-10,  0, 10,  0,-10,  0,  0,-10,  0
12, Wekkarus,	 0,  0,-10,-10,  0, 10,  0, 10,  0,  0,  0,  0, 10,-10,  0,  0,  0,-10,  0,  0,-10,  0
13, Boskara,	 0,  0, 10, 10,-10,-10,  5,-10,  5,  5,-10,-10,-10, 10,  5,  0,-10, 10,-10,  0, 10,-10
14, Shandar,	 0,  0,  5,  5,  0,  5, 10,  5, 10, 10,  0,  0,  5,  5, 10,  0,  0,  5,  0,  0,  5,  0
15, Ugnari,		 0,  0,-10,-10,  0,  0,  0,  0,  0,  0, 10, 10,  0,-10,  0, 10,  0,-10,  0,  0,-10,  0
16, Kiadian,	 0,  0,-10,-10, 10,  0,  0,  0,  0,  0,  0,  0,  0,-10,  0,  0, 10,-10, 10,  0,-10,  0
17, Sluken,		 0,  0, 10, 10,-10,-10,  5,-10,  5,  5,-10,-10,-10, 10,  5,  0,-10, 10,-10,  0, 10,-10
18, Securan,	 0,  0,-10,-10, 10,  0,  0,  0,  0,  0,  0,  0,  0,-10,  0,  0, 10,-10, 10,  0,-10,  0
19, Ikkuro,		10, 10,  0,  0,  0,  0,  0,  0,  0,  0,  5,  5,  0,  0,  0,  5,  0,  0,  0, 10,  0,  0
20, Shakturi,	 0,  0, 10, 10,-10,-10,  5,-10,  5,  5,-10,-10,-10, 10,  5,  0,-10, 10,-10,  0, 10,-10
21, Mechanoid,	 0,  0,-10,-10, 10,  0,  0,  0,  0,  0,  0,  0,  0,-10,  0,  0, 10,-10, 10,  0,-10,  0
