
INFO_NOFUNDS				;金は持っているのか？
INFO_UNMETEMPIRE			;新しい帝国は{0}と呼ばれている
INFO_EXPLORATION	 		;我々はセクター{0}の{1}星系の地図を与える
INFO_INDEPENDENTCOLONY			;独立したコロニーは{0}にある
"INFO_RUINS				;{1}星系の{0}に古代遺跡があるぜ\n\nおそらく、あんただったら価値のあるものを見つけられるるんじゃないか..."
INFO_DEBRISFIELD			;俺たちは、セクター{1}の{0}星系にある古戦場跡で、船の巨大な残骸についての噂を聞いた事がある\n\n 残骸の多くはサルベージできる。あんたが建設船を送れば、それらの一部を回復する事が出来るんじゃないか...
INFO_PLANETDESTROYER			;セクター{1}の{0}星系で放棄された巨大な建設計画についての噂を聞いた事がある\n\n俺たちは、計画が何の為にあるのか分からないが、適切な施設があれば完成させる事が出来ると思うぜ...
INFO_RESTRICTEDAREA			;俺たちは、セクター{1}の{0}星系の近くで 隠された立入禁止地域についての噂を聞いた\n\n　どうやらこの領域に入る船はハイパードライブが止まるらしい。まぁ、誰も帰っては来ないがな。
PIRATE_PROTECTIONPROPOSE		;襲われたくなかったら俺たちに頼むのがスジってもんだ。完全に合理的な料金で6ヶ月間の安全を保障してやるぜ。
PIRATE_PROTECTIONPROPOSEINITIATE	;宇宙の無法地域を通って移動する時、誰が隠れた危険性から守ってくれるっていうんだ？\n\n完全に合理的な料金で6ヶ月間の安全を保障してやるぜ\n\n　なあ、どうだ？
PIRATE_PROTECTIONACCEPTRESPONSE		;素晴らしいな！俺たちが'任意の不幸な事故'も起こらないって事を保障してやるぜ...
PIRATE_PROTECTIONREJECTRESPONSE		;残念なこった！支払えないっていうんじゃ仕方ねえな、せいぜい気をつけな...
PIRATE_PROTECTIONALREADYPAID                ;追加で払ってくれるのかい？\n\n 大層なもんは仕舞っておきな。次の時に貰うぜ。
PIRATE_BUYINFO				;待ってな。情報を送るぜ。
PIRATE_ATTACKOFFER_EMPIRES		;不幸にも海賊に襲われるってわけだ。
PIRATE_ATTACKOFFER_SINGLEEMPIRE		;{0}とはどうだ？。奴等の基地がどこぞの誰かに襲われるって寸法だ\n\n大丈夫。ばれやしないって\n\n わずか{1}クレジットで皆幸せになるんだ。なあ、どうだ？
PIRATE_ATTACKCOMMENCE                        ;すぐに{0}からの訃報が届くはずだぜ！

PIRATE_ALLIANCEPROPOSE                        ;送金、忘れてるぜ。\n\n 毎月{0}クレジットで手を打とう。なあ、どうだ？
PIRATE_ALLIANCEACCEPT			;まあ、仲良くやろうぜ。
PIRATE_ALLIANCEACCEPTRESPONSE	;結構結構！\n\n これで夜道は心配しなくていいぜ、獲物は他から頂くからな！\n\n「任意の不幸な事故」は オプションにしといてやったぜ
PIRATE_ALLIANCEREJECT			;今はやめとくぜ。
PIRATE_ALLIANCEREJECTRESPONSE	;残念だねぇ\n\n 貰う物貰わないと\n\n 海賊ってのは金が掛かるんでね。
PIRATE_ALLIANCECANCEL			;俺たちは手を引くぜ。
PIRATE_ALLIANCECANCELRESPONSE	;おいおい、俺とあんたの仲じゃないか... \n\n冗談だろ？

INFO_OFFER_UNMETEMPIRE			;他の文明との交流は成長と繁栄の鍵である、だろ？\n\n {0}クレジットで連絡をつけてやるぜ
INFO_OFFER_INDEPENDENTCOLONY		;次はどこに目をつけているんだ？\n\n {0}クレジットで独立コロニーの場所を教えてやるぜ
INFO_OFFER_SYSTEMMAPS			;獲物は多いほうがいいだろう？\n\n {0}クレジットで未踏星系の地図を譲ってやるぜ
INFO_OFFER_RUINS			;銀河の秘宝ってのは昔からある有名な話だが\n\n  一枚かむか？\n\n ({0} クレジット)
INFO_OFFER_DEBRISFIELD			;銀河の秘宝ってのは昔からある有名な話だが\n\n  一枚かむか？\n\n ({0} クレジット)
INFO_OFFER_RESTRICTEDAREA		;銀河の秘宝ってのは昔からある有名な話だが\n\n  一枚かむか？\n\n ({0} クレジット)
INFO_OFFER_PLANETDESTROYER		;銀河の秘宝ってのは昔からある有名な話だが\n\n  一枚かむか？\n\n ({0} クレジット)

GREETING_INTRODUCTION			;俺たちは{0}だ。
GREETING_FRIENDLY			;よう兄弟！調子はどうだい？
GREETING_NEUTRAL			;ん？あんたか。今日はなんだい？
GREETING_ANGRY				;なんだ？

OFFER_FREETRADE				;我が国は貴国に対して、二国間の活発な経済交流のための自由貿易協定の締結を提案します！\n\nどう思われますか？
OFFER_PROTECTORATE			;我が友よ、貴国の安全のために保護領条約を提案する。強大な我が帝国はあらゆる攻撃者達から貴国を守るだろう\n\nどう思われるか？
OFFER_MUTUALDEFENSE			;心の友よ、相互防衛条約の締結は我々にとって最善の利益になると感じています。このことは我々のいずれかに対する他国からの攻撃を抑止するでしょう\n\nどう思われますか？
OFFER_DEAL				;取引をしないか？
OFFER_DEAL_RESPONSE		;何の要請だ？

OFFER_DEAL_TERRITORYMAP	;領土マップを交換するか？
OFFER_DEAL_GALAXYMAP	;銀河マップを交換するか？
OFFER_DEAL_COMPONENT        ;技術は欲しくないか？\n\n{0}を{1}クレジットで提供してやるぜ

DEAL_BEGIN				;あんたの要望は？
DEAL_OFFER				;この取引の提案を検討して貰いたい\n\n報酬: {0}\n\n 要求事項: {1}
DEAL_DEMAND				;所有権を放棄する必要がある:\n\n {1}
DEAL_THREAT				;我々に以下のものを贈与する必要がある:\n\n {1} \n\n ... {0}
DEAL_ACCEPT				;貴国の提案を受け入れる
DEAL_ACCEPTCOMPLAIN		;貴国の法外な要求に応じる...この屈辱は決して忘れんぞ！
DEAL_IMPROVE			;更なる検討の価値がある - 申し出の変更を行いますか？
DEAL_REJECT				;関心がない - 取引拒否
DEAL_REJECTCOMPLAIN		;ちょっかいを出すのをやめろ！貴国など敵では無いぞ！
DEAL_REJECT_RESPONSE		;失望した...
DEAL_REJECTDEMAND_RESPONSE	;我々の合理的な最後通告を拒否するとは！\n\nその判断が最大の間違いにならないとよいな！
DEAL_ACCEPT_RESPONSE		;素晴らしい成果だ！
'DEAL_REJECTCOMPLAIN		;そのような一方的な提案を受け入れる事はできない！
'DEAL_REJECTCOMPLAIN		;馬鹿にしているのか！公正な取引をせよ、対等な取引ならば多少は考慮しよう。

MUTUALDEFENSE_ACCEPT			;喜んで受け入れよう。貴国との同盟は我々にとっても心強いかぎりだ。\n\n長く友好が保たれる事を願っている！
MUTUALDEFENSE_REJECT			;提案には感謝致しますが、現時点で貴国と同盟を結ぶつもりはありません
MUTUALDEFENSE_REQUESTHELP		;{0}から攻撃を受けている！条約に従い、共に戦って頂きたい\n\nどうしますか？
MUTUALDEFENSE_HONORREQUESTHELP		;我々は友人や同盟国を見捨てはしない - {0}に宣戦布告する！
MUTUALDEFENSE_HONORREQUESTHELP_RESPONSE	;貴国の忠実なる支援に感謝を！
MUTUALDEFENSE_DECLINEREQUESTHELP	;申し訳ないが、今回は貴国だけで切り抜けてくれ...
MUTUALDEFENSE_DECLINEREQUESTHELP_RESPONSE	;貴国の裏切りを忘れる事はない、絶対にな！
PROTECTORATE_ACCEPT			;喜んで保護領の申し出を受け入れよう！
PROTECTORATE_REJECT			;申し訳ないが、現時点で保護領の一部になるつもりはない
FREETRADE_ACCEPT			;喜んで自由貿易協定の申し出を受け入れよう！
FREETRADE_REJECT			;申し訳ないが、現時点で自由貿易協定に興味を持っていない

CANCELTREATY				;貴国との{0}を取り消す
CANCELTREATY_RESPONSE_FRIENDLY		;貴国が我々との有益な関係の終結を選択するとは...残念だ
CANCELTREATY_RESPONSE_NEUTRAL		;お望みのままに...
CANCELTREATY_RESPONSE_ANGRY		;やっとこの無価値な条約から開放されたか...今日は最高の一日だな！

TREATY_PROPOSAL				;そちらの提案は？
TREATY_ACCEPTRESPONSE			;素晴らしい！新たな盟友を歓迎する
TREATY_REJECTRESPONSE			;失望した...

SUBJUGATION_RELEASE_RESPONSE		;遂に自由だ！
SUBJUGATIONDEMAND_ACCEPT_RESPONSE        ;ようこそ、我々の新たな奴隷よ！無様な敗北を受け入れたくはないかね？
WAR_END_ACCEPT_RESPONSE			;賢明な判断だ

TRADESANCTIONS_IMPOSE			;貴国に対して貿易制裁を課した。即刻、貴国との全取引を終了する！
TRADESANCTIONS_IMPOSE_RESPONSE_ANGRY	;何という暴挙だ！貴国はこの背信行為の代価を支払うことになるだろう！
TRADESANCTIONS_IMPOSE_RESPONSE_NEUTRAL	;いいだろう！我々よりもそちらが傷つく事になるだろうがな！
TRADESANCTIONS_IMPOSE_RESPONSE_SURPRISED	;貿易制裁だと！我々が一体何をしたというのだ？貴国とは友好な関係を築けていると思っていたのに！
TRADESANCTIONS_LIFT			;貴国に対する貿易制裁を撤廃した。現状を持って貴国との正常な貿易を再開する
TRADESANCTIONS_LIFT_RESPONSE		;ほぅ！貴国との貿易など必要ではないのだが...この変化を受け入れる事にするよ
TRADESANCTIONS_REQUESTLIFTOTHER		;貴国が直ちに{0}との貿易を再開する事を要求する！
TRADESANCTIONS_REQUESTLIFTOTHER_ACCEPT	;要求に従い、{0}との貿易を再開します
TRADESANCTIONS_REQUESTLIFTOTHER_REJECT	;{0}との貿易を再開する事はない
TRADESANCTIONS_REQUESTIMPOSEJOINT	;貴国が{0}との貿易を取りやめる事を要求する！
TRADESANCTIONS_REQUESTIMPOSEJOINT_ACCEPT	;ご要望に応じて、{0}との全貿易を終了しました
TRADESANCTIONS_REQUESTIMPOSEJOINT_REJECT	;{0}との貿易を終了するつもりはない

WAR_DECLARE				;貴国に宣戦布告する。貴国の植民地は圧政からの解放を待ち望んでいるのだ
WAR_DECLARE_RESPONSE_EAGER		;塵ほどにも役に立たない帝国を叩き潰せるのが楽しみだ！
WAR_DECLARE_RESPONSE_NEUTRAL		;それでいい。迅速に防衛準備を整えよ！
WAR_DECLARE_RESPONSE_SURPRISED		;何かの間違いだ！我々が一体何をしたというのだ！貴国は些細な事で我々との友好な関係をなかった事にするつもりか？

WAR_DECLARE_REQUESTJOINT		;貴国が正式に{0}との戦争を宣言する事を要求する
WAR_DECLARE_REQUESTJOINT_ACCEPT		;ご要望に応じて、{0}に宣戦布告しました
WAR_DECLARE_REQUESTJOINT_REJECT		;{0}と戦争をするつもりはありません。戦うのならば独力でどうぞ！

WAR_END					;この無意味な戦争の終結を提案する\n\nどうだろうか？
WAR_END_SUBJUGATIONDEMAND		;我々に服従し、支配下に置かれる事に同意した場合のみ、この馬鹿げた戦争を終結しようではないか。\n\n小さな代償で多くの命を救えるのだ、悪い提案ではないと思うが？
WAR_END_SUBJUGATIONOFFER		;この戦争を終結する事に合意して頂ければ、強大な帝国の奴隷となることを誓いましょう。\n\n貴国の忠実な奴隷は返答を待っております。 - 返答は？
WAR_END_ACCEPT				;この戦争の終結に同意する - 我々は直ちに敵対行為を中止する
WAR_END_REJECT				;断る、我々は戦い続ける

WAR_END_REQUESTOTHER			;{0}で、戦争を終結させてください
WAR_END_REQUESTOTHER_ACCEPT		;ご要望に応じて、我々は{0}との戦争を終結します
