'System names

'If you modify this file, place your modified version in the 'Customization' folder - do NOT overwrite the original file in the game folder

Alpha Kassieda, Arax, Beta Kapola, Bita Dasolun, Betilosi, 
Ureun, Tirra, Taoros, Kurillea, Aqoenia, 
Nabuu, Ipselun, Kurdassea, Antaris, Firassea, 
Wurtul, Riksul, Horgilleom, Brakios, Girax, 
Indaseun, Jireth, Kuan, Lenos, Moctaj, 
Naraz, Usalea, Panuxiel, Qiltus, Rinassean, 
Shantol, Theta Uluros, Osineus, Varacta, Wyoth, 
Xanath, Yosul, Zaldix, Gamma, Diltak, 
Zita Passolos, Ita, Cappa, Lambda, Segma, 
Umiga, Sul, Astra, Baratsean, Kydunea, 
Disanteom, Ilyseom, Foselu, Gamulak, Hirat, 
Eulus, Jasulon, Cannarath, Lorideos, Mailstrum, 
Maxus, Narsillean, Urctun, Pharus, Prumaldea, 
Qoentus, Rhudus, Sastea, Troxean, Odan, 
Varga, Windus, Xirus, Yaras, Zafulos, 
Andrumida, Capredur, Lyras, Mindara, Pliados, 
Ramazin, Redil, Romulus, Nultra, Kritanea, 
Argos, Aquareos, Geminur, Kanes, Nurastus, 
Huth, Indur, Dagubah, Tatuueni, Menas, 
Gundur, Kuroskant, Volkan, Aldiraan, Yaven, 
Adomar, Abrigadu-Rai, Andat, Andu, Anseun, 
Aredos, Arcanea, Bacora, Bilcadan, Belbrenge, 
Buthawoe, Brintaal, Kaamas, Dantuueni, Dathumir, 
Durog, Ireado, Gamurr, Giunuses, Ethur, 
Camenu, Eksul, Clatuueni, Kurrubah, Yothlis, 
Leanna, Malastari, Memban, Mun Kalamare, Mureshem, 
Kal Nattu, Nam Khureus, Niemudea, Neroan, Urd Radamar, 
Usarean, Ussos, Phendar, Rhummamuul, Reshe, 
Rotan, Silunea, Sloes Van, Sollost, Talos, 
Trandusha, Tynna, Varunat, Xagubah, Zunama Sicut, 
Almanea, Anurbes, Anuth, Antar, Anzat, 
Arbra, Aredos, Atzirre, Bandumiir, Bilsuvas, 
Bisteni, Bunadan, Burlieas, Byss, Kareda, 
Khakalta, Kumminur, Kurolag, Da Suukha, Dillalt, 
Duren, Dobrelleun, Issilis, Faliin, Fundur, 
Gurqi, Gyndeni, Hunughr, Jomos, Calarba, 
Cashyyc, Khulum, Kuwok, Kubende, Muunos Mandil, 
Montu Kudro, Myrcr, Ncllun, Ubrua Scae, Umwat, 
Undirun, Urd Beneer, Urd Mantill, Qilla, Qoirmea, 
Rallteer, Ryluth, Sakurrea, Talfagleu, Tanaab, 
Tilus, Raldon, Tiyr, Thesspeas, Thulaten, 
Thyfirra, Tuprawa, Tuydarea, Tond, Omgal, 
Volptir, Yagdhol, Yaga, Ylisea, Ylex, 
Ziltrus, Zhar, Zeust, Roorea, Garus, 
Aaitun, Aaghra, Aargao, Abunshii, Abraxas, 
Abrigadu-San, Abrigadu-Fos, Adiga, Adoba, Acorea, 
Almas, Alurthas, Aloreun, Alzuk, Axom, 
Azamol, Baruunda, Benarus, Buunta, Buvu Yagin, 
Brakhnes Khureus, Kolo Asogi, Bornen Cunn, Kadumae, Calipsa, 
Kal-Setu, Kantras Gula, Karusos, Kattamaskar, Kharinthuth, 
Kherun, Kennatar, Bilgaruth, Kumminur, Murkdor, 
Ruhan, Colancia, Kantreem, Kuurembos, Kurbus, 
Kujekos, Kolaren, Kygnos, Kyemarra, Kyphar, 
Kyrellea, Dagilen, Dagru, Dacshii, Dalasteni, 
Daloria Trakea, Dandalas, Di Girrelleun, Dilare, Dildiraan, 
Dimuphun, Dinnascar, Dintaal, Dirrekun, Dispayri, 
Diysom, Dhurean, Delunixa, Dum-Braddin, Durvalla, 
Draithus, Drumond Caas, D'voran, Ibewaan, Icebu, 
Ilukas, Ilshandroo Peka, Iphimira, Ipse Nader, Irgishoe, 
Iskabar, Issuwyn, Ikoriun, Ixukrun, Furmus, 
Framisc Yagin, Garn, Gimenur, Gudu, Gulrath, 
Gundagale, Had Abbadun, Handuueni, Haroon Cal, Havrekos, 
Helu, Huppawoe, Holtumu, Horecani, Hypure, 
Ignacia, Endillean, Endenur, Endo San, Eredunea, 
Esdi Naha, Jaimos, Jameniri, Janudral Mezar, Jintawoe, 
Jirejadur, Calaan, Calandes, Callestas, Cal'Shibbul, 
Kamuri, Camparas, Kandumar, Kestus, Keretos, 
Char Dilba, Keelemaar, Akuueni, Certanea, Desmaanu, 
Kuristar, Xubbahn, Shudasta, Tukan, Juantar, 
Vuras, Laramos, Lavesar, Lazirean, Linthales, 
Lirea Kessel, Liretur, Leentaar, Lumabo, Lulnar, 
Lundure, Luremax, Maru Pasdo, Malthur, Mantarran, 
Maredon, Miredean, Melarean, Muurja, Murillea, 
Monlale Mafer, Narg, Nispes, Nurolak, Nuthueen, 
Ubas, Ubridaan, Uguth Teer, Ulabrea, Uucbat, 
Uphediraan, Urd Wylan, Utrantu, Pantulumen, Pindare, 
Pirgetur, Pulmanar, Puros Veda, Prukupea, Rhamses Kallu, 
Ruunadan, Sacreya, Sapilla, Sarafor, Sarransit, 
Sidisea, Siecusha, Sirmirea, Sistuueni, Sivarkus, 
Shadur, Shatoon, Shaom Hee, Shecetare, Sefokhe, 
